cab,9903628,328,9918,17881
cac,9901937,470,8092,42087
cad,9979838,276,9364,25452
cae,9906773,135,7806,10651
caf,9796017,147,8794,12008
cag,9989334,102,8820,6772
cba,9945865,92,7530,4325
cbb,9982560,296,9726,18740
cbc,9584554,34,9926,3068
cbd,9615161,663,8983,40398
cbe,9962939,248,10564,21686
cbf,9947128,377,9319,34011
cbg,9916613,289,8477,28403
cca,9927037,64,9261,3809
ccb,9947981,53,9031,3226
ccc,9937744,205,8568,21308
ccd,9928061,47,10997,3645
cce,9918241,143,9271,13013
ccf,9806101,118,8501,8624
ccg,9888013,198,7995,19498
cda,9892559,6,8551,682
cdb,9886826,56,8595,3079
cdc,9988983,132,7136,10364
cdd,9853769,209,9793,14735
cde,9912439,194,8836,14121
cdf,9869397,229,7433,22479
cdg,9820258,418,9224,37770
cea,9604740,33,7790,1843
ceb,9760528,156,10137,13810
cec,9874332,92,8969,3976
ced,9889178,234,7359,18431
cee,9721663,27,7661,1739
cef,9836228,403,10671,27532
ceg,9916925,224,6846,12370
cfa,9962770,7,8599,803
cfb,9907409,255,9364,8174
cfc,9918118,808,8947,77400
cfd,9913693,440,8497,34272
cfe,9449853,730,9429,69294
cff,9993350,444,7804,34593
cfg,9783156,269,9031,23932
cga,9876095,153,10244,13662
cgb,9898756,352,9883,23270
cgc,9963100,223,8661,17860
cgd,9979776,141,9081,8520
cge,9850808,296,9309,18782
cgf,9939927,26,10173,935
cgg,9910861,118,7790,11093
daa,9998209,342,8843,13750
dab,9980598,231,9592,20998
dac,9668089,297,11229,27083
dad,9947374,253,9397,18186
dae,9761467,100,8826,6720
daf,9740405,116,7428,6782
dag,9592491,388,9757,36385
dba,9817475,156,10607,15350
dbb,9957450,53,9236,4190
dbc,9972816,519,8550,60260
dbd,9855360,98,11575,7195
dbe,9740803,198,9726,11582
dbf,9847916,297,8212,17204
dbg,9946814,479,9926,47549
dca,9970070,236,9081,10143
dcb,9537035,71,8795,3444
dcc,9794797,333,8327,28903
dcd,9969112,251,10607,20534
dce,9702413,198,7890,19746
dcf,9646079,39,8120,1651
dcg,9853377,271,8477,24146
dda,9625983,98,10656,4929
ddb,9978786,41,8760,3124
ddc,9915441,127,9944,11443
ddd,9678446,451,8672,36212
dde,9972579,205,7852,10681
ddf,9882810,355,9702,34445
ddg,9795505,118,6504,6670
dea,9933081,273,7672,26119
deb,9702344,271,8306,20017
dec,9673731,22,9054,2119
ded,9853747,262,10669,26805
dee,9733371,85,9192,3377
def,9840639,100,8149,5789
deg,9735003,135,8841,14288
dfa,9984388,392,11440,39414
dfb,9712459,274,8101,25095
dfc,9990396,152,9044,15646
dfd,9827503,98,8420,6027
dfe,9779388,285,8387,12360
dff,9625809,31,7978,1455
dfg,9983417,41,9214,1895
dga,9915985,483,7966,50108
dgb,9895450,170,10072,19381
dgc,9848618,182,8089,13717
dgd,9903463,325,9324,21529
dge,9976502,194,10025,20450
dgf,9752425,919,9169,70377
dgg,9943635,5,8053,660
eaa,9939962,262,8088,22758
eab,9831179,143,7390,10698
eac,9728363,223,8455,21359
ead,9563881,438,9773,49299
eae,9753995,63,8961,3588
eaf,9683109,237,8405,22939
eag,9922841,309,7636,21017
eba,9883057,266,9432,16999
ebb,9955684,53,9309,2593
ebc,9968555,50,8510,5247
ebd,9999946,168,8345,15047
ebe,9866763,314,8835,25475
ebf,9836776,602,8683,55684
ebg,9948502,166,9430,13100
eca,9924865,350,9419,26993
ecb,9585897,211,8933,16157
ecc,9963980,186,9230,16058
ecd,9985430,58,8784,4705
ece,9726880,326,8218,26582
ecf,9925491,315,7985,11386
ecg,9769751,239,9103,14323
eda,9935933,83,9496,5064
edb,9971522,21,8494,1537
edc,9928543,36,11176,1522
edd,9966550,66,8262,2945
ede,9750703,270,8389,24507
edf,9924516,199,9166,20257
edg,9879348,270,10894,16961
eea,9997607,103,8676,6449
eeb,9927062,117,7930,8122
eec,9570655,491,10322,41389
eed,9932952,95,8350,9046
eee,9973659,21,9558,1327
eef,9982245,135,9113,13435
eeg,9777334,154,7012,12245
efa,9823776,352,10304,37467
efb,9708682,70,8869,5131
efc,9890747,900,8354,61202
efd,9703581,134,8764,6632
efe,9806772,100,8646,5372
eff,9952198,184,10740,14099
efg,9893615,350,9792,29069
ega,9980246,180,10929,14436
egb,9846215,222,8942,11907
egc,9847059,174,10636,12387
egd,9909044,127,8560,6416
ege,9649099,116,7759,9728
egf,9726059,156,8821,10725
egg,9875077,325,8544,34312
faa,9862234,146,10883,16847
fab,9855681,396,9017,40501
fac,9725192,16,8957,882
fad,9972751,48,8493,2501
fae,9861222,270,9816,9565
faf,9613501,315,8548,30104
fag,9965221,90,7867,8692
fba,9873425,94,8883,9946
fbb,9895723,329,9307,28355
fbc,9998209,437,8925,33699
fbd,9769346,241,9759,26449
fbe,9882786,243,9028,19091
fbf,9691171,358,10583,31083
fbg,9613637,177,8628,11130
fca,9903569,410,9450,32044
fcb,9288600,416,9211,39895
fcc,9761226,94,7675,5827
fcd,9997324,363,8644,33291
fce,9958379,205,7440,16258
fcf,9773399,171,9174,16896
fcg,9852160,225,8699,14648
fda,9886047,78,7028,7245
fdb,9997223,153,7875,7890
fdc,9931539,466,8663,31665
fdd,9695484,198,7289,18503
fde,9982995,102,9082,9878
fdf,9935416,383,8976,32091
fdg,9862376,55,9294,4211
fea,9465003,671,9388,64189
feb,9976554,346,9706,20630
fec,9728336,92,8494,6964
fed,9950825,393,9572,29232
fee,9959654,176,9462,11298
fef,9845199,112,8135,8249
feg,9907538,432,9380,43658
ffa,9948296,54,8241,5001
ffb,9912295,35,8313,1876
ffc,9793537,34,9236,1581
ffd,9852817,135,8342,9093
ffe,9988291,7,7719,744
fff,9504199,7,9980,901
ffg,9986730,289,9764,24297
fga,9901732,380,8208,24801
fgb,9854669,173,9298,8734
fgc,9584259,594,10920,48645
fgd,9534231,272,9171,21686
fge,9988094,235,8391,18576
fgf,9625488,83,8818,5648
fgg,9949903,13,8748,955
gaa,9922092,314,9593,36792
gab,9813754,292,9825,19461
gac,9988965,28,10175,1034
gad,9709040,173,8866,17599
gae,9908302,81,9217,7048
gaf,9646980,290,8150,27511
gag,9607509,291,8356,20742
gba,9873864,12,8949,837
gbb,9911627,43,8470,3927
gbc,9550146,47,8891,3070
gbd,9939871,92,8834,7506
gbe,9727033,136,9406,12013
gbf,9575599,311,8426,26674
gbg,9615826,185,8944,7848
gca,9958712,341,8506,29681
gcb,9889939,416,9206,41066
gcc,9911336,127,9130,6069
gcd,9551772,306,8362,15283
gce,9823672,46,10190,4206
gcf,9876805,22,11001,1449
gcg,9758730,68,7881,5509
gda,9723333,359,8321,27977
gdb,9831534,447,9464,35941
gdc,9634910,454,7581,38241
gdd,9840094,291,8466,28593
gde,9848807,183,7289,12915
gdf,9667740,127,8086,13432
gdg,9992535,60,8636,4547
gea,9874184,297,8653,26349
geb,9900097,278,8472,26315
gec,9846609,229,8454,11156
ged,9834812,291,7765,23776
gee,9982454,229,7605,21154
gef,9804960,385,9593,40963
geg,9857221,186,8078,16727
gfa,9452959,109,9147,6327
gfb,9991396,122,7704,12171
gfc,9829178,128,7020,7170
gfd,9896531,153,10804,14588
gfe,9990378,40,9482,2043
gff,9954859,190,10591,19671
gfg,9992945,216,9774,13465
gga,9784019,249,9194,11595
ggb,9665148,219,8013,14291
ggc,9994467,169,9961,13858
ggd,9572232,19,7231,994
gge,9981173,15,7592,896
ggf,9817506,587,8474,42602
ggg,9951779,489,8542,54634
